Date / Time,City,State,Shape,Duration,Summary,Posted
4/28/2020 20:45,Cottonwood,AZ,Disk,5 seconds,"flew from East to West in straight line, flat circular object with dim white lights around edges. Seem to become brighter and then va",6/25/2020
4/28/2020 20:40,Salem,OR,Circle,2 minutes,"I was driving on Cordon Rd, from Ward Dr to State St when I saw it. It was going perpendicular of my driving. It was just below the clo",6/25/2020
4/28/2020 20:30,Albuquerque,NM,Light,2 minutes,UFO - Red light hovers over Sandia Mountain then at low it changes to two different colors and dissappears!!,6/25/2020
4/28/2020 20:30,Dixon,NM,Light,5min,"A string of lights symmetrical in distance apart, moving quick across the sky and then fading away. ((Starlink satellites?))",6/25/2020
4/28/2020 20:27,Tulsa,OK,Triangle,58 seconds,Photos of ufo hidden in cloud bank after thunderstorm.,6/25/2020
4/28/2020 20:26,Spencer,OK,Disk,30-45 seconds,"There was a single line of 13 saucer shaped disc headed east, there was no no noise. ((Starlink satellites??)",6/25/2020
4/28/2020 20:10,Palmer Lake,CO,Light,,There was a line of craft perfectly spaced traveling across the sky. ((Starlink satellites?)),6/25/2020
4/28/2020 20:00,Trinidad,CA,Disk,5 seconds,"Disk object seen flying at high rate of speed at low angle towards ocean. Surrounded by huge flames. Colored orange, yellow, blue, whit",6/25/2020
4/28/2020 20:00,Hope Mills,NC,Formation,20 Seconds,A perfectly straight line of bright lights were flying by overhead then ascended into outer space. ((Starlink satellites?)),6/25/2020
4/28/2020 18:00,Gresham,OR,Cigar,5 seconds,"Object was heading from east to west at an angle of descent. Was moving fast, unit it vanished. Entire object was lit up as a single li",6/25/2020
4/28/2020 16:00,Baker City,OR,Formation,45 minutes,I have never seen any thing like this and I use my binoculars several times a week.,6/25/2020
4/28/2020 15:00,Eugene,OR,Circle,Snap shot,4-28-20 3:10 pm I took three photos of a commercial plane flying East past our moon which was visible at the time. In the second photo,6/25/2020
4/28/2020 12:00,Magnolia Park,FL,Changing,11 minutes,Large white and green shape low in sky see in magnolia park fl,6/25/2020
4/28/2020 11:15,Denver,CO,Light,20 seconds,I was sitting outside viewing the norther sky when I noticed eight lights in the shape of the tip of an arrow ^ but facing downward. T,6/25/2020
4/28/2020 11:00,Granite Quarry,NC,Sphere,8-10 seconds,Driving south on hwy 52 in Granite Quarry NC. 11:00am looked to the left and noticed a round shiney object 2 miles away and a few miles,6/25/2020
4/28/2020 11:00,Lake Quivira,KS,Sphere,2 minutes,"During the morning we saw a UFO fly over us, black and transparent almost. It disappeared after a few minutes. Was weirdly shaped",6/25/2020
4/28/2020 10:59,Portland,OR,,,MADAR Node 66,6/25/2020
4/28/2020 10:50,Ontario,OR,Light,15 seconds,Satellite accelerated and changed directions around a seperate satellite very suddenly and quickly.,6/25/2020
4/28/2020 9:30,Wilson,NC,Light,10,20 lights flying single file evenly apart. ((Starlink satellites?)),6/25/2020
4/28/2020 9:30,Statesboro,GA,Fireball,5 mins,Several craft was shooting into the air and it lasted about 5 mins. It looked like a chain of lights. ((Starlink satellites?)),6/25/2020
4/28/2020 7:20,Selinsgrove,PA,Sphere,15 seconds,"Large Blue Sphere Over Susquehanna River, Selinsgrove PA, in the early morning hours of April 28, 2020",6/25/2020
4/28/2020 2:10,Hermitage,PA,Light,5 minutes,bright stationary star dims and brightens several times,6/25/2020
4/28/2020 0:10,Säve,,Triangle,00:10-00:27,prick vänder på himelen WTF.,6/25/2020
4/27/2020 23:30,Kent,WA,Circle,3-5 minutes,"Walked out side looking up at the night sky and thought to myself, wow there’s a lot of stars tonight. Well then I realized that one of",6/25/2020
4/27/2020 23:30,Maple Falls,WA,Unknown,15 minutes,Last night we were outside and saw an object moving across the sky. ((Starlink satellites?))o,6/25/2020
4/27/2020 23:00,Burnaby (Canada),BC,Light,one hour,Several star-like lights travelling across sky with one that sped up to avoid collision into another. ((Starlink satellites?)),6/25/2020
4/27/2020 23:00,Carmichael,CA,Light,30 seconds,It looked like the sheriffs helicopter with its spotlight on which is common in my area. Absolutely no no noise. It was flying direct,6/25/2020
4/27/2020 23:00,Fayetteville,GA,Egg,20 minutes,"Bright object over Atlanta, GA.",6/25/2020
4/27/2020 22:45,Carryville,TN,Formation,5 minutes,"I was driving home around 10:45 pm. I got off exit 134 in Carryville, Tn and over Covelake there were 3 orange lights. At first they we",6/25/2020
4/27/2020 22:40,Raymond,WA,Other,15-20 minutes,"24 lights from one spot in the sky, heading W S and E. ((Starlink satellites?))",6/25/2020
4/27/2020 22:00,Lansdale,PA,Cigar,25 minutes,UFO'S playing in the sky.,6/25/2020
4/27/2020 22:00,Marshfield,MO,Light,Apx. 10 minutes,Apx 22:00 went out and looked up and saw a line of lights moving in a straight line. ((Starlink satellites?)),6/25/2020
4/27/2020 22:00,Los Angeles,CA,Circle,1 hour,"It wasa Round Black Moon 45 degrees WNW with some yellow light coming through.

The more West it moved it started fading away.",6/25/2020
4/27/2020 21:30,Kansas City,KS,Formation,15 seconds,1 object with 6 lights or 6 smaller objects in a perfectly straight line moving West to east ((Starlink satellites?)),6/25/2020
4/27/2020 21:20,Jefferson City,MO,Light,5-7mins,A straight line of many multiple lights directly overhead. ((Starlink satellites?)),6/25/2020
4/27/2020 21:15,Chariton,IA,Light,3 minutes,Line of 30-40 white lights moving single file through the sky from NW to SE,6/25/2020
4/27/2020 21:15,Wentzville,MO,Circle,1 minute,30-50 lights flew from west to east in a straight line disappearing overhead. ((Starlink satellites?)),6/25/2020
4/27/2020 21:15,Chesterfield,MO,Formation,10 seconds,Star like formations moving quickly in sets of 3 across sky. ((Starlink satellites?)),6/25/2020
4/27/2020 21:14,Warsaw,MO,Other,5 min 2 times,Truman Dam Missouri string of lights. ((Starlink satellites?)),6/25/2020
4/27/2020 21:10,Brentwood,TN,Formation,2 minutes,little bright dots were lining up and heading to west and flying upwards and disappeared. ((Starlink satellites?)),6/25/2020
4/27/2020 21:10,Ruther Glen,VA,Unknown,18 seconds,"Large ufo in Ruther Glen, VA. ((Starlink satellites?))",6/25/2020
4/27/2020 21:09,Watsonville,CA,,,"MADAR Node 105, replaces 04/28/2020 same location",6/25/2020
4/27/2020 21:08,Townsend,DE,Formation,3 minutes,Lasted 3 minutes.right over my house 25 to 30 bright single and seperated by almost the same distance. ((Starlink satellites?)),6/25/2020
4/27/2020 21:06,Sunbury,PA,Circle,90 seconds,25 solid circular lights moving SE in a strait line. ((Starlink satellites?)),6/25/2020
4/27/2020 21:05,Kitty Hawk,NC,Formation,10 seconds,Observed straight line of 8-12 “moving stars on a very clear night. ((Starlink satellites?)),6/25/2020
4/27/2020 21:03,Ellicott City,MD,Formation,2 minutes,"A lined formation of brightly lit objects moving West to East, 12-15 objects in two groups, ((Starlink satellites?))",6/25/2020
4/27/2020 21:01,Buffalo,NY,Formation,2 minutes,"A long queue of whitish round orbs, perhaps 15 total, in the south covering the whole heavens. ((Starlink satellites?))",6/25/2020
4/27/2020 21:00,Wyomissing,PA,Unknown,>5 minutes,20 Lights in a row. ((Starlink satellites?)),6/25/2020
