latitude,longitude,geometry,city,zip,dst,geopoint,state,timezone
44.259479,-73.40591,Point,Essex,12936,1,"44.259479,-73.40591",NY,-5
34.181071,-89.90638,Point,Pope,38658,1,"34.181071,-89.90638",MS,-6
33.272695,-90.995399,Point,Wayside,38780,1,"33.272695,-90.995399",MS,-6
42.540048,-88.358167,Point,Pell Lake,53157,1,"42.540048,-88.358167",WI,-6
43.172619,-89.07464,Point,Marshall,53559,1,"43.172619,-89.07464",WI,-6
43.06956,-89.423861,Point,Madison,53786,1,"43.06956,-89.423861",WI,-6
43.076691,-89.37632,Point,Madison,53788,1,"43.076691,-89.37632",WI,-6
33.927936,-79.76429,Point,Scranton,29591,1,"33.927936,-79.76429",SC,-5
36.101529,-78.713346,Point,Creedmoor,27564,1,"36.101529,-78.713346",NC,-5
38.859645,-77.15328,Point,Falls Church,22044,1,"38.859645,-77.15328",VA,-5
37.174217,-77.39008,Point,Petersburg,23805,1,"37.174217,-77.39008",VA,-5
43.128534,-76.13931,Point,Syracuse,13212,1,"43.128534,-76.13931",NY,-5
36.321009,-81.74404,Point,Zionville,28698,1,"36.321009,-81.74404",NC,-5
38.642203,-81.03691,Point,Nebo,25141,1,"38.642203,-81.03691",WV,-5
34.139397,-118.35034,Point,Universal City,91608,1,"34.139397,-118.35034",CA,-8
34.469945,-114.27861,Point,Lake Havasu City,86406,0,"34.469945,-114.27861",AZ,-7
35.521181,-105.981847,Point,Santa Fe,87592,1,"35.521181,-105.981847",NM,-7
38.377411,-121.444429,Point,Sacramento,94267,1,"38.377411,-121.444429",CA,-8
37.189396,-121.705327,Point,San Jose,95173,1,"37.189396,-121.705327",CA,-8
40.668068,-111.908297,Point,Salt Lake City,84127,1,"40.668068,-111.908297",UT,-7
